#time	delta_t	count	delta_count
0.001	0.008	2512	50.120
0.004	0.009	2308	48.042
0.007	0.009	2295	47.906
0.010	0.010	2246	47.392
0.013	0.010	2275	47.697
0.016	0.011	2122	46.065
0.019	0.012	2092	45.738
0.022	0.012	2082	45.629
0.025	0.013	1930	43.932
0.029	0.013	2060	45.387
0.032	0.014	1910	43.704
0.035	0.014	1935	43.989
0.038	0.015	1918	43.795
0.041	0.015	1824	42.708
0.044	0.016	1782	42.214
0.047	0.016	1709	41.340
0.050	0.017	1765	42.012
0.053	0.017	1713	41.388
0.056	0.018	1715	41.413
0.059	0.018	1749	41.821
0.063	0.019	1653	40.657
0.066	0.019	1621	40.262
0.069	0.020	1686	41.061
0.072	0.020	1581	39.762
0.075	0.021	1570	39.623
0.078	0.021	1531	39.128
0.081	0.022	1570	39.623
0.084	0.022	1504	38.781
0.087	0.023	1425	37.749
0.090	0.024	1482	38.497
0.093	0.024	1400	37.417
0.097	0.025	1346	36.688
0.100	0.025	1336	36.551
0.103	0.026	1374	37.068
0.106	0.026	1342	36.633
0.109	0.027	1273	35.679
0.112	0.027	1320	36.332
0.115	0.028	1245	35.285
0.118	0.028	1279	35.763
0.121	0.029	1241	35.228
0.124	0.029	1191	34.511
0.127	0.030	1208	34.756
0.130	0.030	1085	32.939
0.134	0.031	1235	35.143
0.137	0.031	1149	33.897
0.140	0.032	1126	33.556
0.143	0.032	1139	33.749
0.146	0.033	1130	33.615
0.149	0.033	1063	32.604
0.152	0.034	1060	32.558
0.155	0.035	1036	32.187
0.158	0.035	1026	32.031
0.161	0.036	965	31.064
0.164	0.036	993	31.512
0.168	0.037	978	31.273
0.171	0.037	907	30.116
0.174	0.038	925	30.414
0.177	0.038	917	30.282
0.180	0.039	926	30.430
0.183	0.039	886	29.766
0.186	0.040	917	30.282
0.189	0.040	863	29.377
0.192	0.041	873	29.547
0.195	0.041	864	29.394
0.198	0.042	858	29.292
0.202	0.042	898	29.967
0.205	0.043	903	30.050
0.208	0.043	805	28.373
0.211	0.044	867	29.445
0.214	0.044	770	27.749
0.217	0.045	800	28.284
0.220	0.046	781	27.946
0.223	0.046	861	29.343
0.226	0.047	810	28.460
0.229	0.047	806	28.390
0.232	0.048	750	27.386
0.236	0.048	759	27.550
0.239	0.049	742	27.240
0.242	0.049	773	27.803
0.245	0.050	776	27.857
0.248	0.050	710	26.646
0.251	0.051	792	28.142
0.254	0.051	687	26.211
0.257	0.052	700	26.458
0.260	0.052	702	26.495
0.263	0.053	693	26.325
0.266	0.053	653	25.554
0.270	0.054	640	25.298
0.273	0.054	700	26.458
0.276	0.055	628	25.060
0.279	0.055	642	25.338
0.282	0.056	689	26.249
0.285	0.057	618	24.860
0.288	0.057	632	25.140
0.291	0.058	601	24.515
0.294	0.058	607	24.637
0.297	0.059	605	24.597
0.300	0.059	566	23.791
0.304	0.060	573	23.937
0.307	0.060	579	24.062
0.310	0.061	568	23.833
0.313	0.061	580	24.083
0.316	0.062	570	23.875
0.319	0.062	550	23.452
0.322	0.063	526	22.935
0.325	0.063	573	23.937
0.328	0.064	506	22.494
0.331	0.064	530	23.022
0.334	0.065	526	22.935
0.338	0.065	498	22.316
0.341	0.066	515	22.694
0.344	0.066	515	22.694
0.347	0.067	452	21.260
0.350	0.067	477	21.840
0.353	0.068	479	21.886
0.356	0.069	479	21.886
0.359	0.069	451	21.237
0.362	0.070	486	22.045
0.365	0.070	455	21.331
0.368	0.071	470	21.679
0.372	0.071	472	21.726
0.375	0.072	413	20.322
0.378	0.072	441	21.000
0.381	0.073	442	21.024
0.384	0.073	478	21.863
0.387	0.074	466	21.587
0.390	0.074	445	21.095
0.393	0.075	442	21.024
0.396	0.075	430	20.736
0.399	0.076	403	20.075
0.402	0.076	390	19.748
